C_gps,C_name,C_name2,C_high,C_ad,,,
"35.0013,127.3136333",조계산,조계산,884,전남,점봉산,1426,"강원도 양양군 서면, 인제군 인제읍ㆍ기린면"
"36.77145556,128.0442444",조령산,조령산,1026,경북,조계산,887.3,전라남도 순천시 승주읍ㆍ송광면
"36.38935,129.1623944",주왕산,주왕산,722,경북,주왕산,722.1,"경상북도 청송군 청송읍ㆍ부동면, 영덕군 지품면ㆍ달산면"
"36.78856667,128.1012667",주흘산,주흘산,1106,경북,주흘산,1108.4,경상북도 문경시 문경읍
"35.33690972,127.7306228",지리산,지리산 천왕봉,1915,지리산,지리산,1915.4,"전라북도 남원시, 전라남도 구례군, 경상남도 하동군ㆍ산청군ㆍ함양군"
"34.53166944,126.9196972",천관산,천관산,723,전남,지리산,399.3,경상남도 통영시 사량면
"35.40158333,129.1062778",천성산,천마산,812,경기,천관산,724.3,"전라남도 장흥군 관산읍, 대덕읍"
"37.680237,127.273314",천마산,천성산,812,경남,천마산,810.3,"경기도 남양주시 화도읍, 오남읍"
"36.15916944,127.6001",천태산,천태산,714,충북,천성산,920.2,"경상남도 양산시 하북면, 상북면"
"37.42799808,127.0435783",청계산,청계산,582,서울,천태산,715.2,"충청북도 영동군 양산면, 충청남도 금산군 제원면"
"36.79433611,128.9085528",청량산,청량산,870,경북,청량산,869.7,"경상북도 봉화군 명호면ㆍ재산면, 안동시 도산면ㆍ예안면"
"36.60371149,127.9204332",청화산,청화산,970,충북,추월산,731.2,"전라남도 담양군 용면, 전라북도 순창군 복흥면"
"35.37095833,126.7260417",축령산(장성),축령산(장성),621,전남,축령산,887.1,"경기도 남양주시 수동면, 가평군 상면"
"37.365125,128.0556444",치악산,치악산,1288,강원,치악산,1282,"강원도 원주시, 횡성군, 영월군"
"36.41303454,126.8849185",칠갑산(청양),칠갑산,561,충남,칠갑산,559.7,"충청남도 청양군 대치면, 정산면, 장평면"
"37.0962988015,128.917050362",태백산,칠보산,778,충북,태백산,1566.7,"강원도 태백시, 경상북도 봉화군 석포면"
"36.74059,127.92656",칠보산(괴산),태백산,1567,강원,태화산,1027.5,"강원도 영월군 영월읍, 충청북도 단양군 영춘면"
